irt_model,model,ability,correct,observed_total,missing_total,coverage,accuracy,ability_rank,accuracy_rank
1pl,ruleset,0.3453935279031073,6898,9721,98,0.9900193502393319,0.7095977780063779,1,2
1pl,phi4_baseline,0.2997115272540829,4216,5920,3899,0.6029127202362766,0.7121621621621622,2,1
1pl,5mini,0.296717206064784,6833,9721,98,0.9900193502393319,0.7029112231251928,3,3
1pl,qwen314b_baseline,0.196849735388974,6763,9819,0,1.0,0.6887666768510031,4,4
1pl,deepseek_r1_32b_baseline,0.17523589524996708,6733,9819,0,1.0,0.6857113759038599,5,5
1pl,qwen257b_baseline,0.15432619155540062,5310,7813,2006,0.7957022100010185,0.6796365032637911,6,7
1pl,baseline,0.147926258041996,6630,9721,98,0.9900193502393319,0.6820285978808764,7,6
1pl,deepseek_r1_14b_baseline,0.1201979543438354,6656,9819,0,1.0,0.677869436806192,8,8
1pl,qwen314b_ruleset,0.09464383266061094,4405,6600,3219,0.6721662083715246,0.6674242424242425,9,11
1pl,phi4_ruleset,0.08407097882331005,6605,9819,0,1.0,0.6726754251960485,10,9
1pl,deepseek_r1_14b_ruleset,0.08042473235568726,6050,9019,800,0.9185253080761788,0.6708060760616477,11,10
1pl,mistral_7b_baseline,-0.10900405323249995,6327,9819,0,1.0,0.6443629697525206,12,13
1pl,deepseek_r1_8b_baseline,-0.1257876698607855,2899,4441,5378,0.45228638354211226,0.6527809052015312,13,12
1pl,qwen330b_a3b_baseline,-0.16498852395977848,5627,8819,1000,0.8981566350952236,0.6380542011565937,14,14
1pl,llama31_8b_baseline,-0.23712871595776197,5985,9566,253,0.9742336286790916,0.6256533556345389,15,15
1pl,llama31_8b_ruleset,-0.3206899621079736,6013,9819,0,1.0,0.6123841531724208,16,16
1pl,qwen253b_baseline,-0.4454947356418305,5816,9807,12,0.9987778796211427,0.5930457836239421,17,17
1pl,qwen253b_ruleset,-0.5924041788811252,5268,9270,549,0.9440879926672777,0.568284789644013,18,18
